iter	Passed	Remaining
444	1148	1431
445	1150	1428
446	1152	1425
447	1153	1421
448	1155	1417
449	1157	1414
450	1158	1410
451	1160	1406
452	1162	1403
453	1164	1400
454	1166	1397
455	1168	1394
456	1170	1390
457	1172	1387
458	1174	1383
459	1175	1380
460	1178	1378
461	1181	1375
462	1182	1371
463	1184	1368
464	1186	1364
465	1187	1361
466	1189	1357
467	1191	1353
468	1193	1351
469	1196	1348
470	1198	1345
471	1200	1342
472	1202	1339
473	1203	1335
474	1205	1332
475	1209	1331
476	1211	1328
477	1213	1325
478	1215	1321
479	1216	1318
480	1218	1314
481	1219	1310
482	1221	1307
483	1224	1305
484	1226	1302
485	1228	1299
486	1230	1295
487	1231	1292
488	1233	1288
489	1234	1285
490	1236	1282
491	1240	1280
492	1242	1277
493	1243	1273
494	1245	1270
495	1246	1266
496	1248	1263
497	1250	1260
498	1252	1257
499	1254	1254
500	1256	1251
501	1258	1248
502	1259	1244
503	1261	1241
504	1263	1238
505	1264	1234
506	1266	1231
507	1270	1230
508	1272	1227
509	1274	1224
510	1276	1221
511	1277	1217
512	1279	1214
513	1281	1211
514	1283	1209
515	1285	1205
516	1287	1202
517	1289	1199
518	1291	1196
519	1292	1193
520	1294	1190
521	1296	1187
522	1300	1185
523	1301	1182
524	1303	1179
525	1305	1176
526	1306	1172
527	1308	1169
528	1310	1166
529	1312	1164
530	1315	1161
531	1317	1158
532	1318	1155
533	1320	1152
534	1322	1149
535	1324	1146
536	1327	1144
537	1329	1141
538	1332	1139
539	1333	1136
540	1335	1133
541	1337	1130
542	1339	1127
543	1341	1124
544	1344	1122
545	1346	1119
546	1348	1116
547	1349	1113
548	1351	1110
549	1353	1107
550	1354	1103
551	1356	1100
552	1358	1098
553	1361	1095
554	1362	1092
555	1364	1089
556	1365	1086
557	1367	1083
558	1369	1080
559	1371	1077
560	1372	1074
561	1375	1071
562	1376	1068
563	1378	1065
564	1380	1063
565	1382	1060
566	1384	1057
567	1387	1055
568	1390	1052
569	1391	1050
570	1393	1047
571	1395	1044
572	1397	1041
573	1398	1038
574	1400	1035
575	1402	1032
576	1405	1030
577	1407	1027
578	1408	1024
579	1411	1021
580	1412	1018
581	1414	1015
582	1416	1012
583	1418	1010
584	1421	1008
585	1422	1005
586	1424	1002
587	1426	999
588	1427	996
589	1429	993
590	1431	990
591	1433	988
592	1435	985
593	1437	982
594	1439	979
595	1440	976
596	1442	973
597	1444	970
598	1445	967
599	1448	965
600	1450	962
601	1452	960
602	1454	957
603	1455	954
604	1457	951
605	1459	948
606	1460	945
607	1463	943
608	1466	941
609	1468	938
610	1469	935
611	1471	933
612	1473	930
613	1475	927
614	1476	924
615	1479	922
616	1482	920
617	1484	917
618	1487	915
619	1489	912
620	1492	910
621	1496	909
622	1498	906
623	1501	904
624	1503	902
625	1506	899
626	1509	897
627	1511	895
628	1513	892
629	1515	890
630	1517	887
631	1519	884
632	1521	881
633	1524	880
634	1526	877
635	1527	874
636	1529	871
637	1531	868
638	1532	866
639	1534	863
640	1536	860
641	1539	858
642	1541	855
643	1542	852
644	1544	849
645	1546	847
646	1547	844
647	1549	841
648	1550	838
649	1555	837
650	1557	834
651	1558	832
652	1560	829
653	1562	826
654	1564	823
655	1565	821
656	1568	818
657	1570	816
658	1572	813
659	1574	811
660	1576	808
661	1578	805
662	1579	802
663	1583	801
664	1585	798
665	1587	796
666	1589	793
667	1590	790
668	1592	787
669	1593	785
670	1595	782
671	1598	780
672	1600	777
673	1602	774
674	1603	772
675	1605	769
676	1607	766
677	1608	764
678	1610	761
679	1612	758
680	1615	756
681	1616	753
682	1618	751
683	1619	748
684	1621	745
685	1623	743
686	1626	740
687	1628	738
688	1631	736
689	1632	733
690	1634	730
691	1636	728
692	1637	725
693	1639	722
694	1641	720
695	1643	717
696	1645	715
697	1647	712
698	1648	710
699	1650	707
700	1652	704
701	1654	702
702	1655	699
703	1658	697
704	1660	694
705	1662	692
706	1664	689
707	1666	687
708	1668	684
709	1670	682
710	1673	680
711	1676	677
712	1677	675
713	1679	672
714	1681	670
715	1683	667
716	1685	665
717	1690	663
718	1692	661
719	1694	658
720	1695	656
721	1697	653
722	1699	651
723	1700	648
724	1703	646
725	1705	643
726	1707	641
727	1709	638
728	1710	636
729	1712	633
730	1714	630
731	1716	628
732	1718	626
733	1721	623
734	1722	621
735	1724	618
736	1726	615
737	1727	613
738	1729	610
739	1730	608
740	1733	606
741	1736	603
742	1737	601
743	1739	598
744	1741	595
745	1742	593
746	1744	590
747	1746	588
748	1750	586
749	1751	583
750	1753	581
751	1755	578
752	1756	576
753	1758	573
754	1759	571
755	1762	568
756	1764	566
757	1766	563
758	1768	561
759	1770	559
760	1772	556
761	1773	554
762	1775	551
763	1779	549
764	1782	547
765	1784	544
766	1785	542
767	1787	539
768	1789	537
769	1791	535
770	1795	533
771	1796	530
772	1798	528
773	1800	525
774	1801	523
775	1803	520
776	1805	518
777	1807	515
778	1809	513
779	1811	511
780	1813	508
781	1814	505
782	1816	503
783	1818	500
784	1820	498
785	1823	496
786	1825	494
787	1827	491
788	1828	489
789	1830	486
790	1832	484
791	1833	481
792	1835	479
793	1838	477
794	1840	474
795	1842	472
796	1843	469
797	1845	467
798	1847	464
799	1848	462
800	1853	460
801	1855	458
802	1858	455
803	1860	453
804	1862	451
805	1863	448
806	1865	446
807	1870	444
808	1871	441
809	1873	439
810	1875	437
811	1877	434
812	1878	432
813	1880	429
814	1883	427
815	1885	425
816	1887	422
817	1888	420
818	1890	417
819	1892	415
820	1893	412
821	1895	410
822	1899	408
823	1900	406
824	1902	403
825	1904	401
826	1905	398
827	1907	396
828	1909	393
829	1911	391
830	1914	389
831	1916	386
832	1917	384
833	1919	382
834	1921	379
835	1923	377
836	1924	374
837	1926	372
838	1930	370
839	1931	367
840	1933	365
841	1935	363
842	1937	360
843	1938	358
844	1940	355
845	1942	353
846	1944	351
847	1946	348
848	1947	346
849	1949	344
850	1951	341
851	1952	339
852	1954	336
853	1957	334
854	1959	332
855	1961	330
856	1963	327
857	1965	325
858	1967	322
859	1969	320
860	1973	318
861	1975	316
862	1976	313
863	1978	311
864	1980	309
865	1982	306
866	1984	304
867	1987	302
868	1989	299
869	1991	297
870	1993	295
871	1994	292
872	1996	290
873	1998	288
874	1999	285
875	2003	283
876	2005	281
877	2006	278
878	2008	276
879	2010	274
880	2011	271
881	2013	269
882	2015	267
883	2019	264
884	2021	262
885	2022	260
886	2024	257
887	2026	255
888	2027	253
889	2029	250
890	2032	248
891	2034	246
892	2036	243
893	2037	241
894	2039	239
895	2041	236
896	2043	234
897	2045	232
898	2049	230
899	2051	227
900	2053	225
